pnc.com	3.5	-8	-8.5	13	14	15	-9	18	14.5	-21	-19	27.5	-3	3
hatena.ne.jp	-29	-7.5	47	49	-5.5	0	49	-15.5	5.5	-11.5	18	-13.5	-8.5	10.5
directtrack.com	1.5	-6	-4.5	6.5	20.5	9	14.5	21	-8	-7	-10	12.5	-1	-1
filehippo.com	28.5	-9	-12	-6.5	9	-10	5.5	8	-2	-6	44	-26	-6	7
behance.net	24	27	-14.5	-25	-34	-21.5	-19.5	-5.5	6	3	1.5	-1.5	-20.5	35
google.ca	-4.5	-3	1	4.5	1.5	1	5	-1	7	-7.5	-2.5	3	-3.5	3.5
usaa.com	-18.5	1	8.5	-1	-2	34.5	-29	13	10.5	-9	-20.5	30.5	9.5	-8
bet365.com	37.5	7.5	-16	-24	-29	-13.5	-11.5	-6.5	-3.5	12	46	-24	-16.5	24.5
amazon.it	-15	10	16	-10	-22.5	-25.5	-25	-12.5	-11	33.5	36.5	-21	-14	19.5
nikkansports.com	-39	-19	49	49	7.5	0	48.5	-18	4	-8	26	-17.5	-2.5	2.5
nbc.com	17.5	6	-5	-8	-10.5	-27	-13	14	19.5	-19	-17.5	27.5	-10.5	13.5
adscale.de	-15.5	-3	15	10	-2.5	-18	5.5	-8	-8.5	13	-1	1	-13	14.5
skyrock.com	27	2.5	-5.5	-17	-21.5	-19	-8.5	-21	-20.5	49	3	-3	-7.5	8.5
xinhuanet.com	-5.5	23.5	-10	-18.5	-16.5	6.5	2	-8	14.5	-9.5	3	-2.5	-7	8
gamezer.com	49	-18	-23.5	-36	-28	0	49	6	3	-23	-18	28	20	-14.5
microsoftonline.com	49	-6.5	-14	-12.5	-17	-21.5	-20.5	2.5	1	2	-4.5	5	-9	11.5
discovery.com	15	1	-3.5	-9	-7	-1	-2.5	14.5	7	-13	-11	14	-7	8
box.com	13	2	-2	-9.5	-13	-18	-10.5	-6	1	3	12.5	-10	-4.5	2.5
techrepublic.com	1	6	-2.5	-7	-7	-20.5	-20.5	-6	-3	11.5	37.5	-24	-8.5	8
disqus.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
privalia.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pornorama.com	11	-3	-4.5	-1	-9	-15.5	12	7	-4	-3	49	-35.5	-12.5	17
reliancenetconnect.co.in	-1	18	-11	-18.5	-24.5	0	-22.5	-15	-15.5	44	49	-28	-9	11
bankmellat.ir	5	24	-20	-27	-22.5	0	42.5	1.5	18	-23.5	49	-28	-11	14
softlayer.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bookryanair.com	-5.5	19.5	-1.5	-8.5	-20.5	-24	-17.5	-20.5	-16.5	49	-7	8.5	-16	20.5
wordpress.com	4	1	-1	-2	-6.5	-20	-13	3.5	-1	2	-7.5	8.5	-4	4.5
detik.com	-8	8.5	10	-17	-22	0	-5	1.5	13	-11	30	-18.5	30	-19
android.com	9	10	-4	-13	-22	-17	-11	-1	1	3	42	-23	-8.5	10.5
dh818.com	-20	44	-7.5	-32	0	0	49	-26	2	-19.5	22	-18	49	-37
youboy.com	-6	24	-11	-17	-2.5	0	20.5	19	15	-28.5	-7.5	4	21.5	-15
ellechina.com	6	38.5	-25.5	-34.5	0	0	-2	-13	33.5	-18	-30	49	-19.5	31
dhl.de	-24.5	-1	26	10	-12	-18	-2.5	-2.5	-5	8	1	-1	-3	3
ahram.org.eg	1	-4.5	4	2.5	8	1.5	-13.5	-15.5	49	-26	-8.5	10	14.5	-11
jiji.com	-39	-22	49	49	28	0	46.5	-13.5	3	-8.5	28	-18	1	-1
rediff.com	15	7.5	-15	-22	-7.5	0	-21	-6	-16	37	33.5	-20	-11	14
google.ru	6.5	9.5	-6.5	-9	-17	0	-3.5	-15	-5.5	17	14	-11	12	-9.5
aruba.it	-23.5	8.5	27.5	-4.5	-28	-24	-8.5	-15.5	-9	26	49	-27	-12.5	16.5
seoquake.com	-24	-5.5	7	22	25	6	3	6	-6	2	17	-15.5	4	-3.5
businessinsider.com	2	10	-3	-8	-13.5	-24.5	-19	-8.5	4.5	7	10	-8.5	-11.5	15.5
sears.com	-18.5	-5.5	3	12	19	20	-6.5	26	8.5	-20.5	-20.5	31	8.5	-7
gougou.com	18	24	-25	-34	0	0	17	9.5	23	-25	28.5	-18	-11	11
vidxden.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rapidshare.com	37.5	3.5	-14.5	-26	-37.5	0	6.5	-2.5	-1	-1	48	-24.5	-6.5	7.5
novinky.cz	-13	13	14	-18.5	-22	-18.5	-16	-4.5	2.5	5.5	25	-17	5.5	-5
allegro.pl	-15	37.5	3.5	-22.5	-31.5	0	-19.5	-18	-14.5	43.5	23.5	-16	3	-5
travian.com	49	4	-17.5	-32	-39	0	-3	-8.5	-6	12.5	33	-20	-10.5	13
google.com.ly	9	-3	2.5	-4.5	-32	-1	15.5	-10	17	-15	-1	-1	3	-3
onlinesbi.com	36	2	-25	-26.5	-23.5	0	-21.5	-9.5	-14.5	36	49	-30.5	-17.5	26.5
dribbble.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jeuxvideo.com	49	16.5	-11.5	-32.5	-42	-23	-14	-27	-25.5	49	47	-26.5	-15	21
jqueryui.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cars.com	1	2	-4	2.5	-1	-1	-6	16.5	11.5	-16.5	15.5	-12	1	-1
qire123.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hilton.com	-20.5	-3	9	13.5	6	-2	-20.5	-7	11.5	-2.5	-19	30.5	2	-4
ustream.tv	0	0	0	0	0	0	0	0	0	0	0	0	0	0
download.com	9.5	-5	-5.5	-1.5	11	19	3.5	8	-1.5	-3.5	25	-16.5	-4	4
usps.com	-11.5	-1.5	-2	8.5	19.5	-3.5	-5	22.5	10.5	-19	-19.5	31.5	-3	3
hostgator.com	-3	-4	-1	6.5	11.5	10	1.5	15	-3	-5.5	21	-14.5	-1	-1
telegraaf.nl	-14	-3	16.5	6.5	-6.5	-25.5	-21.5	-18.5	-8.5	34	49	-25	1	-3
commissionbreakthrough.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yandex.kz	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wayn.com	-22.5	-3	7	23.5	28	24	-11.5	-3.5	-7	14.5	19	-14	-1.5	1.5
issuu.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aufeminin.com	5.5	10.5	2.5	-16.5	-17	-22.5	-22	-29.5	-27.5	49	-14.5	20.5	-5	5.5
freehostia.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argos.co.uk	-6.5	-1	10.5	-2	-15.5	-2	20	-5.5	-13.5	14.5	-3.5	4	4.5	-4
anonym.to	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lowes.com	-26.5	-8	1.5	21	28.5	15	3	28	8.5	-21.5	-18.5	29	13	-10
coupons.com	-20	8	4.5	1	1	-6.5	3	37.5	11	-26.5	-38.5	49	42	-23
sekindo.com	0	0	0	0	0	0	0	0	0	0	0	0	0	0
booking.com	-18	8	9	2	-6.5	-20	-17	-17.5	-7.5	25	-7	8	-4.5	5
icicibank.com	-12	28.5	-10.5	-18	-23.5	0	-29	-19.5	-22	49	49	-28	-5	5.5
paper.li	0	0	0	0	0	0	0	0	0	0	0	0	0	0
baidu.com	-1	26	-14	-21.5	-29.5	0	3.5	-3.5	16.5	-13.5	-1	1	-5.5	6
rightmove.co.uk	-14.5	3.5	12	-1	-10.5	-4.5	14.5	-10.5	-16	22	-3	3	-1	1
xiami.com	20	26	-31.5	-42	0	0	-1	-12.5	32.5	-18.5	-10.5	13.5	-28.5	49
echo.msk.ru	-12	9.5	2	-1	-13	-18.5	-24.5	-20.5	-11.5	42	38.5	-22	17.5	-13
admin5.com	5.5	47	-26	-42.5	0	0	7	4.5	28.5	-27	44	-23.5	-7	8
